name,score,time,comment
二十二岛主,4,2019-07-19 11:03:49,戏说不是胡说改编不是乱编把太乙真人设计成和肥猪作伴哪吒和敖丙还能成为朋友如果按照六老师的逻辑这部电影的主创团队是要向本国人民谢罪的但你不能否认它确实足够好看而且并没有脱离封神演义中哪吒故事的框架只是在几个重要的情节点上进行了富有现代意义和人情味的改编很有创新颠覆精神电影中几乎每一个角色都能够立得住尤其是围绕哪吒的觉醒亲情友情都进行了合理且动人的铺垫可以说这三条线每一条单独拎出来想做好都不容易而做好了汇聚起来释放出的力量真的就是又感动又燃本质还是想探讨人定胜天的问题成佛成魔全在一念之间最重要的还是做自己这可比某些鸡汤说教的要容易接受的多小包袱很多但有的实在过于低俗放屁梗熊gay梗那些让人看着实在不舒服总体瑕不掩瑜值得一个好成绩的鼓励
桃桃林林,4,2019-07-26 16:29:58,7分制作确实非常突出尤其是夕阳下踢毽子和变身两场戏印象深刻这也说明华语动画只要真是踏踏实实下来做苦功夫还是能出佳作的剧情相比老版做了很多革新包括新增的父子情这个见仁见智吧主题则是神魔我做主我命由我不由天的中二少年感放到现在倒是挺燃的哪吒变身之后也是大加分跟敖丙的兄弟情也是相当新时代趣味了希望每一部用心制作的华语动画都能有好的成绩吧不过个人还是觉得大圣更好些所以刚刚还专门给大圣改了分这样才公平些都好都好都加油都加油
法兰西胶片,4,2019-07-13 17:30:17,85分逆天之作大家可以给大圣归来改分了
阿德,5,2019-07-19 12:24:01,暑期档到目前为止最好看的一部真正打动我的不是哪吒的人设而是找回了久违的看港片喜剧的快感
字母君,3,2019-07-14 01:57:27,讽刺的是尽管角色口口声声说着做自己我命由己不由天最害人的是成见电影却依然一直在用对肥胖结巴娘娘腔等各色缺陷产生的成见制造无价值且一点都不好笑的笑料
时间之葬,3,2019-07-14 16:39:20,又一次高举国产动画良心的大旗之前我好奇的是我们的良心动画为什么非得加入那些尴尬又低级的网络段子式笑料难道非得把自己打扮成一半臃肿粗鄙一半热血激昂的割裂模样才足以迎合主流观众的口味吗
蚂蚁没问题,2,2019-07-19 20:35:50,各种方言结巴放屁烧裤裆的梗还有什么指纹解锁游乐场之类的舔当代科技所有笑点都能在半分钟之前预知弱智当好笑最不能接受的是把主题又变成什么不信命之类的俗套那句泛中国地区最中二病没有之一的我命由我不由天出来的时候我饭都要呕出来本来我们已经很没有反抗父权的人物了硕果仅存的哪吒也要变成这样削骨还父割肉还母完全没有爹妈爱我父慈子孝让人忍不住竖中指行吧父母皆祸害小组关了李靖也洗白白了我服了还不行吗我信命了好吧
王大根,3,2019-07-20 19:29:51,2019年哪吒都成家庭教育成功典范了就算你是魔童转世奔着毁天灭地来的只要家里有钱有权有天命妈妈爱你爸爸把命都给你再顶级名师1V1封闭式教育不愁养不出一个精英来金吒木吒抱头痛哭这个家里没有我们的位置敖丙是真可怜啊背负了整个家族的不甘心一人给片鳞好比读大学前村里每家每户给抓把小米可走到城里人家一看你头上的角就知道底细了纵使哪天真能修炼成仙身后还林林总总一大串亲戚呢可敖丙能成仙吗不被社会生吞活剥扒皮抽筋就不错了吧
哪吒男,4,2019-07-19 21:40:56,谢谢把我拍的这么好
姨妈的鸭,4,2019-07-20 16:53:55,一切都很好但是哪吒我想我看过更好的
42,2,2019-07-17 21:13:34,这不叫难看这叫什么剧情低幼主题无趣想法无聊笑点基本都是八百年前的唯独制作不错但一枝独秀有什么用如果这片是国漫之光那国漫也算病入膏肓了
荔枝超人,3,2019-07-17 21:42:12,第一不觉得好笑第二配音出戏第三又一部银河补习班讲完你们骂吧
孤语独行,1,2019-07-16 22:09:44,哪吒这个形象真的是毁童年很多人都说这部代表着国漫崛起请问此种好莱坞式的动漫能代表中国文化嘛
Kouros,3,2019-07-19 22:24:12,李靖到底是为了什么做揭穿敖丙身份这样损人不利己的事
孔鲤,4,2019-07-14 17:10:56,点映看完了不剧透地说除了哪吒和他娘的人物关系外这部电影把传统的哪吒故事里人物关系都改变了哪吒和李靖哪吒和太乙哪吒和敖丙等等因为有这些关系要重新做所以这些人物的设定才和传统的不一样整部电影本身严格按照商业片的形式几个情感转折的节点都掐准了时间不夸张地说如果这个系列电影要做下去的话还有之前的大圣之后的姜子牙等大圣归来和魔童降世在这个系列的地位相当于这个系列的钢铁侠01和美国队长01但前提是一定要做下去
君思故乡明,1,2019-07-19 15:04:41,大圣归来火了之后国产片开始不停的翻拍同类型作品孙悟空哪吒都制作出来美名其曰国漫崛起其实还是没有自己的创意评论里各种吹爆吹爆吹爆的一看就是没有看过大闹天宫和哪吒闹海这两部动画片的就算看过也肯定没有了解幕后花絮不知道当年这两部动画做的是有多用心如今这么好莱坞化的哪吒还配是中国的哪吒所以吹爆你妈呢求求你闭嘴吧要吹爆还真轮不到你知道弟弟两个字怎么写吗按照这趋势预测下一步要翻拍黑猫警长宝莲灯之类的了
方枪枪,4,2019-07-13 17:48:47,童年时期最难忘的一个画面就是哪吒自刎这么多年过去了又看到了一个看起来丑爆丑爆的哪吒故事在原作基础上做了颠覆性改编面子上不必多说里子中关于父爱的感动自我认知的成长世俗偏见的以及反叛意识都值得称道还有很多现代化元素的融合也别有趣味自来水安利去看就对了
风林火山,5,2019-07-19 16:22:30,这个分数偏低了在哪吒闹海诞生40年后迎来的又一部哪吒作品真香
卢舍那,3,2019-07-21 08:12:52,就大家对国产未免也太宽容
咸鱼日常,2,2019-07-20 14:05:52,这两年每当国产动画出来一部时必定打着什么崛起之光顶峰之类的称号控制舆论势力打造良心口碑自来水造势白蛇如此这部也如此每每如此必遭反噬豆瓣88分的概念是多大国产的宝莲灯80日本今敏的红辣椒88欧美的蜘蛛侠平行宇宙86coco也只是9088分的概念等同于基本秒杀所有的动画电影可以进影史前十的那种配吗别说套路像火影人物像鸣人核心依旧是俗套的我命由我不由天你是哪吒还是悟空前半段无聊至极后期人物崩塌一众平民样板化就靠造势的捆绑卖腐营销也真的让人反感魔童降世是真哪吒是假如果说我能按照国产动画标准给他打3星是正常的话国漫这种过度吹捧模式就会反噬掉一星
萨嘎摩多熊猫桑,2,2019-07-21 21:13:21,国产动画发展了这么多年似乎是越来越不明白技术它就不是这个行当里最根本的东西不明白作品里塞再多大而空的感情也无法真正打动人古往今来反父权反愚孝的动画人物有几个这么一个难能可贵的形象还给毁了改得面目全非为什么还要继续叫哪吒就是叫王小明也完全没问题至于笑点永远低俗而不自知片里翻来覆去地嘲笑结巴胖子和娘娘腔有意思吗做动画的各位是大人了都这样子还指望我们的动画教出什么样的小孩
